67,112,caution
112,211,unrestricted
211,246,caution
246,286,caution
286,327,unrestricted
327,362,caution
362,455,unrestricted
455,490,caution
490,536,caution
536,588,unrestricted
588,612,caution
612,644,caution
644,719,unrestricted
719,758,caution
758,871,unrestricted
871,899,caution
899,947,unrestricted
947,996,caution
996,67,unrestricted
